Date,GLD,SPY,TLT
2006-01-03,53.119998931884766,88.2249526977539,50.228885650634766
2006-01-04,53.29999923706055,88.64280700683594,50.349273681640625
2006-01-05,52.34000015258789,88.69847869873047,50.28909683227539
2006-01-06,53.720001220703125,89.43661499023438,50.196109771728516
2006-01-09,54.599998474121094,89.66637420654297,50.228885650634766
2006-01-10,54.060001373291016,89.75688934326172,49.82390594482422
2006-01-11,54.529998779296875,90.04237365722656,49.741825103759766
2006-01-12,54.43000030517578,89.68726348876953,50.075706481933594
2006-01-13,55.439998626708984,89.60367584228516,50.365753173828125
2006-01-17,55.2599983215332,89.35997009277344,50.59009552001953
2006-01-18,54.06999969482422,89.00484466552734,50.57368850708008
2006-01-19,55.59000015258789,89.34602355957031,50.425926208496094
2006-01-20,55.20000076293945,87.71666717529297,50.557289123535156
2006-01-23,55.77000045776367,88.02996826171875,50.54084014892578
2006-01-24,55.72999954223633,88.1205062866211,50.29457473754883
2006-01-25,56.13999938964844,88.19715118408203,49.74730682373047
2006-01-26,55.880001068115234,88.68453216552734,49.533870697021484
2006-01-27,55.630001068115234,89.50619506835938,49.533870697021484
2006-01-30,56.68000030517578,89.43661499023438,49.4846076965332
2006-01-31,56.70000076293945,88.78205108642578,49.62144470214844
2006-02-01,56.70000076293945,89.40178680419922,49.451744079589844
2006-02-02,56.97999954223633,88.36421203613281,49.54511260986328
2006-02-03,56.5,87.92552947998047,49.896610260009766
2006-02-06,56.720001220703125,88.15534210205078,49.995445251464844
2006-02-07,54.599998474121094,87.37545776367188,49.7592887878418
2006-02-08,54.83000183105469,88.16927337646484,49.64394760131836
2006-02-09,56.18000030517578,88.02305603027344,49.86914825439453
2006-02-10,54.790000915527344,88.18319702148438,49.59453582763672
2006-02-13,53.720001220703125,88.02305603027344,49.60001754760742
2006-02-14,54.4900016784668,88.95610809326172,49.424259185791016
2006-02-15,53.7599983215332,89.26946258544922,49.54511260986328
2006-02-16,54.52000045776367,89.9379653930664,49.556053161621094
2006-02-17,54.959999084472656,89.69419860839844,49.951499938964844
2006-02-21,55.119998931884766,89.47139739990234,49.86914825439453
2006-02-22,55.34000015258789,90.0145492553711,50.20963668823242
2006-02-23,54.63999938964844,89.8822250366211,50.08333969116211
2006-02-24,55.63999938964844,90.11200714111328,50.00640869140625
2006-02-27,55.220001220703125,90.1468505859375,49.9240608215332
2006-02-28,56.06999969482422,89.29033660888672,50.171207427978516
2006-03-01,56.099998474121094,90.08419036865234,49.868099212646484
2006-03-02,56.7400016784668,90.07717895507812,49.520877838134766
2006-03-03,56.279998779296875,89.65943145751953,49.23426818847656
2006-03-06,55.22999954223633,89.24853515625,48.804359436035156
2006-03-07,54.95000076293945,89.10930633544922,48.83740997314453
2006-03-08,53.970001220703125,89.29734802246094,48.82088088989258
2006-03-09,54.2400016784668,88.69847869873047,48.83740997314453
2006-03-10,53.83000183105469,89.54104614257812,48.65556335449219
2006-03-13,54.310001373291016,89.70813751220703,48.61695098876953
2006-03-14,54.869998931884766,90.64818572998047,48.942138671875
2006-03-15,55.119998931884766,91.05206298828125,48.677589416503906
2006-03-16,55.34000015258789,91.24005889892578,49.11851501464844
2006-03-17,55.119998931884766,91.3163070678711,48.96969223022461
2006-03-20,55.16999816894531,91.16944122314453,49.04682540893555
2006-03-21,54.83000183105469,90.59616088867188,48.79331970214844
2006-03-22,54.75,91.14847564697266,48.89803695678711
2006-03-23,54.70000076293945,90.95974731445312,48.74369430541992
2006-03-24,55.709999084472656,91.02964782714844,49.10197448730469
2006-03-27,56.38999938964844,90.89678192138672,48.92008972167969
2006-03-28,56.060001373291016,90.3375244140625,48.46263885498047
2006-03-29,57.06999969482422,90.90381622314453,48.23114013671875
2006-03-30,58.599998474121094,90.74300384521484,47.894935607910156
2006-03-31,58.099998474121094,90.76396942138672,47.878448486328125
2006-04-03,58.470001220703125,90.69404602050781,47.89394760131836
2006-04-04,58.33000183105469,91.27433013916016,47.844154357910156
2006-04-05,58.65999984741211,91.58889770507812,47.910484313964844
2006-04-06,59.279998779296875,91.49105072021484,47.545379638671875
2006-04-07,58.59000015258789,90.5612564086914,47.08065414428711
2006-04-10,59.599998474121094,90.7010498046875,47.16918182373047
2006-04-11,59.0099983215332,89.93208312988281,47.33513641357422
2006-04-12,59.43000030517578,90.099853515625,47.047454833984375
2006-04-13,59.5,89.98103332519531,46.71550369262695
2006-04-17,61.09000015258789,89.9460220336914,46.886985778808594
2006-04-18,61.849998474121094,91.37223052978516,46.96999740600586
2006-04-19,63.75,91.5469741821289,46.682308197021484
2006-04-20,60.959999084472656,91.67283630371094,46.643585205078125
2006-04-21,63.20000076293945,91.68678283691406,46.914676666259766
2006-04-24,61.650001525878906,91.5190200805664,47.102787017822266
2006-04-25,62.779998779296875,91.14149475097656,46.54401397705078
2006-04-26,63.650001525878906,91.16246032714844,46.46654510498047
2006-04-27,62.959999084472656,91.6029281616211,46.527381896972656
2006-04-28,65.08999633789062,91.91049194335938,46.56061553955078
2006-05-01,65.16000366210938,91.16246032714844,46.21070098876953
2006-05-02,66.55000305175781,91.84760284423828,46.33291244506836
2006-05-03,66.45999908447266,91.50502014160156,46.23292922973633
2006-05-04,67.4800033569336,91.8336181640625,46.1551513671875
2006-05-05,67.98999786376953,92.64453887939453,46.43283462524414
2006-05-08,67.55999755859375,92.53272247314453,46.46063232421875
2006-05-09,69.68000030517578,92.71449279785156,46.43283462524414
2006-05-10,70.37999725341797,92.6655502319336,46.51615524291992
2006-05-11,71.02999877929688,91.5469741821289,46.28843688964844
